% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
15.225	2	1	1523	6	1	28	2292
15.235	2	1	1524	6	1	28	2292
15.245	2	1	1525	6	1	28	2292
15.255	2	1	1526	6	1	28	2292
15.265	2	1	1527	6	1	28	2292
15.275	2	1	1528	6	1	28	2292
15.285	2	1	1529	6	1	28	2292
15.295	2	1	1530	6	1	28	2292
15.305	2	1	1531	6	1	28	2292
15.315	2	1	1532	6	1	28	2292
15.325	2	1	1533	6	1	28	2292
15.335	2	1	1534	6	1	28	2292
15.345	2	1	1535	6	1	28	2292
15.355	2	1	1536	6	1	28	2292
15.365	2	1	1537	6	1	28	2292
15.375	2	1	1538	6	1	28	2292
15.385	2	1	1539	6	1	28	2292
15.395	2	1	1540	6	1	28	2292
15.405	2	1	1541	6	1	28	2292
15.415	2	1	1542	6	1	28	2292
15.425	2	1	1543	6	1	28	2292
15.435	2	1	1544	6	1	28	2292
15.445	2	1	1545	6	1	28	2292
15.455	2	1	1546	6	1	28	2292
15.465	2	1	1547	6	1	28	2292
15.475	2	1	1548	6	1	28	2292
15.485	2	1	1549	6	1	28	2292
15.495	2	1	1550	6	1	28	2292
15.505	2	1	1551	6	1	28	2292
15.515	2	1	1552	6	1	28	2292
15.525	2	1	1553	6	1	28	2292
15.535	2	1	1554	6	1	28	2292
15.545	2	1	1555	6	1	28	2292
15.555	2	1	1556	6	1	28	2292
15.565	2	1	1557	6	1	28	2292
15.575	2	1	1558	6	1	28	2292
15.585	2	1	1559	6	1	28	2292
15.595	2	1	1560	6	1	28	2292
15.605	2	1	1561	6	1	28	2292
15.615	2	1	1562	6	1	28	2292
15.625	2	1	1563	6	1	28	2292
15.635	2	1	1564	6	1	28	2292
15.645	2	1	1565	6	1	28	2292
15.655	2	1	1566	6	1	28	2292
15.665	2	1	1567	6	1	28	2292
15.675	2	1	1568	6	1	28	2292
15.685	2	1	1569	6	1	28	2292
15.695	2	1	1570	6	1	28	2292
15.705	2	1	1571	6	1	28	2292
15.715	2	1	1572	6	1	28	2292
15.725	2	1	1573	6	1	28	2292
15.735	2	1	1574	6	1	28	2292
15.745	2	1	1575	6	1	28	2292
15.755	2	1	1576	6	1	28	2292
15.765	2	1	1577	6	1	28	2292
15.775	2	1	1578	6	1	28	2292
15.785	2	1	1579	6	1	28	2292
15.795	2	1	1580	6	1	28	2292
15.805	2	1	1581	6	1	28	2292
15.815	2	1	1582	6	1	28	2292
15.825	2	1	1583	6	1	28	2292
15.835	2	1	1584	6	1	28	2292
15.845	2	1	1585	6	1	28	2292
15.855	2	1	1586	6	1	28	2292
15.865	2	1	1587	6	1	28	2292
15.875	2	1	1588	6	1	28	2292
15.885	2	1	1589	6	1	28	2292
15.895	2	1	1590	6	1	28	2292
15.905	2	1	1591	6	1	28	2292
15.915	2	1	1592	6	1	28	2292
15.925	2	1	1593	6	1	28	2292
15.935	2	1	1594	6	1	28	2292
15.945	2	1	1595	6	1	28	2292
15.955	2	1	1596	6	1	28	2292
15.965	2	1	1597	6	1	28	2292
15.975	2	1	1598	6	1	28	2292
15.985	2	1	1599	6	1	28	2292
15.995	2	1	1600	6	1	28	2292
16.005	2	1	1601	6	1	28	2292
16.015	2	1	1602	6	1	28	2292
16.025	2	1	1603	6	1	28	2292
16.035	2	1	1604	6	1	28	2292
16.045	2	1	1605	6	1	28	2292
16.055	2	1	1606	6	1	28	2292
16.065	2	1	1607	6	1	28	2292
16.075	2	1	1608	6	1	28	2292
16.085	2	1	1609	6	1	28	2292
16.095	2	1	1610	6	1	28	2292
16.105	2	1	1611	6	1	28	2292
16.115	2	1	1612	6	1	28	2292
16.125	2	1	1613	6	1	28	2292
16.135	2	1	1614	6	1	28	2292
16.145	2	1	1615	6	1	28	2292
16.155	2	1	1616	6	1	28	2292
16.165	2	1	1617	6	1	28	2292
16.175	2	1	1618	6	1	28	2292
16.185	2	1	1619	6	1	28	2292
16.195	2	1	1620	6	1	28	2292
16.205	2	1	1621	6	1	28	2292
16.215	2	1	1622	6	1	28	2292
16.225	2	1	1623	6	1	28	2292
16.235	2	1	1624	6	1	28	2292
16.245	2	1	1625	6	1	28	2292
16.255	2	1	1626	6	1	28	2292
16.265	2	1	1627	6	1	28	2292
16.275	2	1	1628	6	1	28	2292
16.285	2	1	1629	6	1	28	2292
16.295	2	1	1630	6	1	28	2292
16.305	2	1	1631	6	1	28	2292
16.315	2	1	1632	6	1	28	2292
16.325	2	1	1633	6	1	28	2292
16.335	2	1	1634	6	1	28	2292
16.345	2	1	1635	6	1	28	2292
16.355	2	1	1636	6	1	28	2292
16.365	2	1	1637	6	1	28	2292
16.375	2	1	1638	6	1	28	2292
16.385	2	1	1639	6	1	28	2292
16.395	2	1	1640	6	1	28	2292
16.405	2	1	1641	6	1	28	2292
16.415	2	1	1642	6	1	28	2292
16.425	2	1	1643	6	1	28	2292
16.435	2	1	1644	6	1	28	2292
16.445	2	1	1645	6	1	28	2292
16.455	2	1	1646	6	1	28	2292
16.465	2	1	1647	6	1	28	2292
16.475	2	1	1648	6	1	28	2292
16.495	3	1	1650	6	1	0	85
16.496	3	1	1650	7	1	0	85
16.497	3	1	1650	8	1	0	85
16.498	3	1	1650	9	1	0	85
16.499	3	1	1650	10	1	0	85
16.5	3	1	1651	1	1	0	85
16.501	3	1	1651	2	1	0	85
16.502	3	1	1651	3	1	28	2292
16.505	3	1	1651	6	1	28	2292
16.515	3	1	1652	6	1	28	2292
16.525	3	1	1653	6	1	28	2292
16.535	3	1	1654	6	1	28	2292
16.545	3	1	1655	6	1	28	2292
16.555	3	1	1656	6	1	28	2292
16.565	3	1	1657	6	1	28	2292
16.575	3	1	1658	6	1	28	2292
16.585	3	1	1659	6	1	28	2292
16.595	3	1	1660	6	1	28	2292
16.605	3	1	1661	6	1	28	2292
16.615	3	1	1662	6	1	28	2292
16.625	3	1	1663	6	1	28	2292
16.635	3	1	1664	6	1	28	2292
16.645	3	1	1665	6	1	28	2292
16.655	3	1	1666	6	1	28	2292
16.665	3	1	1667	6	1	28	2292
16.675	3	1	1668	6	1	28	2292
16.685	3	1	1669	6	1	28	2292
16.695	3	1	1670	6	1	28	2292
16.705	3	1	1671	6	1	28	2292
16.715	3	1	1672	6	1	28	2292
16.725	3	1	1673	6	1	28	2292
16.735	3	1	1674	6	1	28	2292
16.745	3	1	1675	6	1	28	2292
16.755	3	1	1676	6	1	28	2292
16.765	3	1	1677	6	1	28	2292
16.775	3	1	1678	6	1	28	2292
16.785	3	1	1679	6	1	28	2292
16.795	3	1	1680	6	1	28	2292
16.805	3	1	1681	6	1	28	2292
