% time	cellId	IMSI	RNTI	sinrLinear
29.361	1	1	1	5316.61
29.401	1	1	1	5316.68
29.441	1	1	1	5316.75
29.481	1	1	1	5316.82
29.521	1	1	1	5316.89
29.561	1	1	1	5316.96
29.601	1	1	1	5317.02
29.641	1	1	1	5317.09
29.681	1	1	1	5317.15
29.721	1	1	1	5317.21
29.761	1	1	1	5317.28
29.801	1	1	1	5317.34
29.841	1	1	1	5317.4
29.881	1	1	1	5317.45
29.921	1	1	1	5317.51
29.961	1	1	1	5317.57
30.001	1	1	1	5317.63
30.041	1	1	1	5317.68
30.081	1	1	1	5317.73
30.121	1	1	1	5317.79
30.161	1	1	1	5317.84
30.201	1	1	1	5317.89
30.241	1	1	1	5317.94
30.281	1	1	1	5317.99
30.321	1	1	1	5318.04
30.361	1	1	1	5318.09
30.401	1	1	1	5318.14
30.441	1	1	1	5318.19
30.481	1	1	1	5318.23
30.521	1	1	1	5318.28
30.561	1	1	1	5318.32
30.601	1	1	1	5318.37
30.641	1	1	1	5318.41
30.681	1	1	1	5318.46
30.721	1	1	1	5318.5
30.761	1	1	1	5318.54
30.801	1	1	1	5318.58
30.841	1	1	1	5318.62
30.881	1	1	1	5318.66
30.921	1	1	1	5318.7
30.961	1	1	1	5318.74
31.001	1	1	1	5318.78
31.041	1	1	1	5318.82
31.081	1	1	1	5318.86
31.121	1	1	1	5318.9
31.161	1	1	1	5318.93
31.201	1	1	1	5318.97
31.241	1	1	1	5319.01
31.281	1	1	1	5319.04
31.321	1	1	1	5319.08
31.361	1	1	1	5319.11
31.401	1	1	1	5319.14
31.441	1	1	1	5319.18
31.481	1	1	1	5319.21
31.521	1	1	1	5319.24
31.561	1	1	1	5319.28
31.601	1	1	1	5319.31
31.641	1	1	1	5319.34
31.681	1	1	1	5319.37
31.721	1	1	1	5319.4
31.761	1	1	1	5319.43
31.801	1	1	1	5319.46
31.841	1	1	1	5319.49
31.881	1	1	1	5319.52
31.921	1	1	1	5319.55
31.961	1	1	1	5319.58
32.001	1	1	1	5319.61
32.041	1	1	1	5319.64
32.081	1	1	1	5319.67
32.121	1	1	1	5319.69
32.161	1	1	1	5319.72
32.201	1	1	1	5319.75
32.241	1	1	1	5319.77
32.281	1	1	1	5319.8
32.321	1	1	1	5319.83
32.361	1	1	1	5319.85
32.401	1	1	1	5319.88
32.441	1	1	1	5319.9
32.481	1	1	1	5319.93
32.521	1	1	1	5319.95
32.561	1	1	1	5319.98
32.601	1	1	1	5320
32.641	1	1	1	5320.02
32.681	1	1	1	5320.05
32.721	1	1	1	5320.07
32.761	1	1	1	5320.1
32.801	1	1	1	5320.12
32.841	1	1	1	5320.14
32.881	1	1	1	5320.16
32.921	1	1	1	5320.19
32.961	1	1	1	5320.21
33.001	1	1	1	5320.23
33.041	1	1	1	5320.25
33.081	1	1	1	5320.27
33.121	1	1	1	5320.29
33.161	1	1	1	5320.31
33.201	1	1	1	5320.34
33.241	1	1	1	5320.36
33.281	1	1	1	5320.38
33.321	1	1	1	5320.4
33.361	1	1	1	5320.42
33.401	1	1	1	5320.44
33.441	1	1	1	5320.46
33.481	1	1	1	5320.48
33.521	1	1	1	5320.49
33.561	1	1	1	5320.51
33.601	1	1	1	5320.53
33.641	1	1	1	5320.55
33.681	1	1	1	5320.57
33.721	1	1	1	5320.59
33.761	1	1	1	5320.61
33.801	1	1	1	5320.62
33.841	1	1	1	5320.64
33.881	1	1	1	5320.66
33.921	1	1	1	5320.68
33.961	1	1	1	5320.69
34.001	1	1	1	5320.71
34.041	1	1	1	5320.73
34.081	1	1	1	5320.75
34.121	1	1	1	5320.76
34.161	1	1	1	5320.78
34.201	1	1	1	5320.8
34.241	1	1	1	5320.81
34.281	1	1	1	5320.83
34.321	1	1	1	5320.84
34.361	1	1	1	5320.86
